lon,lat,depth
-179.14316457,-54.771025,0.0
-178.9602369,-54.795524,0.0
-174.2016726,-54.403914,0.0
-171.4132041,-53.827035,0.0
-171.2179639,-53.690569,0.0
-168.71620000000001,-54.043235,0.0
-167.545216,-52.530671,0.0
-167.02581,-52.417972,0.0
-166.707957,-52.448695,0.0
-162.302095,-52.439948,0.0
-161.753093,-52.441869,0.0
-161.286475,-52.570957,0.0
-161.211641,-52.622931,0.0
-161.181801,-52.627549,0.0
-161.155077,-52.632875,0.0
-161.145081,-52.626542,0.0
-161.131339,-52.682471,0.0
-161.128267,-52.709985,0.0
-161.084286,-52.646236,0.0
-161.077916,-52.697136,0.0
-161.04835500000002,-52.704277,0.0
-161.043419,-52.649387,0.0
-161.018564,-52.623555,0.0
-159.188193,-52.957815,0.0
-159.133014,-52.95386,0.0
-159.129125,-52.967976,0.0
-159.067484,-52.98513,0.0
-159.06045,-52.951872,0.0
-159.052885,-52.985437,0.0
-159.025201,-52.914833,0.0
-158.96493900000002,-52.912018,0.0
-158.960197,-52.95995,0.0
-158.928927,-52.968134,0.0
-158.894414,-52.858624,0.0
-158.805451,-52.886319,0.0
-158.692714,-52.68247,0.0
-158.624332,-52.903141,0.0
-154.990435,-53.551521,0.0
-154.284877,-53.053117,0.0
-153.797091,-52.345687,0.0
-153.700427,-52.575233,0.0
-153.595238,-52.564951,0.0
-153.495929,-52.319771,0.0
-153.420619,-52.562079,0.0
-153.328459,-26.940613,0.0
-153.287113,-26.926829,0.0
-153.189433,-52.681436,0.0
-152.782399,-52.99121,1.6998742857142861
-152.719618,-52.934348,0.0
-152.381004,-52.341535,0.0
-151.790266,-52.06706,0.0
-151.599405,-52.013765,0.0
-149.881891,-7.331584099999999,0.0
-149.632545,-48.880654,0.0
-149.593628,-49.814083,0.0
-148.947988,-49.189485,0.0
-147.90662700000001,-47.907859,0.0
-147.814102,-47.698706,0.0
-146.863932,-47.253126,0.0
-146.812136,-20.954573,0.0
-146.510118,-21.847055,3.854675142857143
-146.25746800000002,-46.832357,0.0
-144.089893,-44.842178,0.0
-144.07377400000001,-44.815242,0.0
-144.025084,-6.9591993,0.0
-143.580399,-43.798529,0.0
-142.691386,-11.295702,2.2438764285714283
-140.805948,-44.233644,0.0
-140.515972,-15.477105,0.0
-140.42309,-43.263196,0.0
-140.238305,-7.1623678,0.0
-139.333865,12.352339,0.0
-138.654881,-10.737353,0.0
-138.35658899999999,-12.090356,0.0
-135.482515,-20.237208,0.0
-133.759966,-38.923214,0.0
-133.439113,-38.601495,0.0
-133.359708,-38.796319,0.0
-133.196198,-38.75013,0.0
-133.167887,-62.029749,0.0
-133.123603,-17.504680999999998,1.6620948571428573
-132.64117,32.521505999999995,3.044889714285714
-132.613723,32.422311,2.2184501428571424
-132.187192,-38.574265,0.0
-131.805782,12.659457,0.0
-131.62392499999999,12.552631,0.0
-131.606542,12.646548,0.0
-131.276668,32.466947999999995,0.0
-131.22323,12.810143,0.0
-130.929103,-38.01793,0.0
-130.825736,-38.107738,0.0
-130.348779,-37.918667,0.0
