daynum,lon,lat,elev
0,118.177,-36.483000000000004,80.15873015873017
0,118.26799999999999,-36.2,50.79365079365079
0,118.288,-36.367,60.317460317460316
0,118.29299999999999,-36.126999999999995,40.476190476190474
0,118.345,-36.563,88.88888888888889
0,118.35,-35.967,64.28571428571429
0,118.397,-36.65,100.0
0,118.42200000000001,-36.797,84.12698412698413
0,118.475,-37.128,74.60317460317461
0,118.54499799999999,-36.121666,33.333333333333336
0,118.557,-37.1,96.82539682539682
0,118.56200000000001,-37.176,71.42857142857143
0,118.56200000000001,-37.162,80.95238095238095
0,118.572,-36.348,61.111111111111114
0,118.574,-36.927,82.53968253968254
0,118.712,-36.736999999999995,76.19047619047619
0,118.7354,-37.4578,73.01587301587301
0,118.765,-36.562,24.603174603174605
0,118.77,-37.067,82.53968253968254
0,118.84200000000001,-36.717,39.682539682539684
0,118.91799999999999,-37.03,63.492063492063494
0,118.93700000000001,-37.183,73.01587301587301
0,119.03299999999999,-37.61,66.66666666666667
0,119.1,-37.3,65.07936507936508
0,119.14299999999999,-37.7244,69.04761904761905
0,119.17,-37.78,89.68253968253968
0,119.2,-37.165,38.888888888888886
0,119.221,-37.228,30.158730158730158
0,119.234,-38.077,66.66666666666667
0,119.238,-37.555,44.44444444444444
0,119.257,-37.897,74.60317460317461
0,119.29,-37.465,28.571428571428573
0,119.35,-37.873000000000005,55.55555555555556
0,119.37700000000001,-38.44,65.07936507936508
0,119.43,-38.092,65.07936507936508
0,119.448,-37.838,48.41269841269841
0,119.49,-37.41,32.53968253968254
0,119.52,-37.403,28.571428571428573
0,119.5356,-38.3975,66.87301587301587
0,119.55,-37.637,49.20634920634921
0,119.552,-38.305,33.333333333333336
0,119.601,-38.318000000000005,57.93650793650794
0,119.615,-38.67,51.58730158730159
0,119.62100000000001,-38.282,71.42857142857143
0,119.631,-38.501,44.44444444444444
0,119.6516,-37.8595,44.44444444444444
0,119.6531,-38.3319,65.87301587301587
0,119.662,-38.158,52.38095238095238
0,119.758,-38.243,47.61904761904762
0,119.805,-38.49,57.142857142857146
0,119.80799999999999,-38.561,57.142857142857146
0,119.818,-38.667,16.666666666666668
0,119.87700000000001,-38.032,25.396825396825395
0,119.8873,-38.8365,54.87301587301587
0,119.89200000000001,-38.205,52.38095238095238
0,119.8942,-38.7194,48.07936507936508
0,119.902,-39.326,60.317460317460316
